英単語,訳,発音,解説,用例,用例・訳
relational,関連した,riˈleɪʃənəl,"関係の,交渉の 
(語が)関係を示す,関係のある 
親類の,血縁関係のある",in a relational database the data are organized as a number of differently sized tables,関係データベースでは、データは多くの異なるサイズのテーブルとして組織化される
relevance,関連性,ˈrɛləvəns,"適切 
(…に対する)関連性《+『to』+『名』》","Too far away, and nobody will be able to use, understand, or perceive the relevance of one's effort
","あまりに 離れ すぎ て い たら 、 だれ も その 努力 を 利用 でき ず 、 理解 でき ず 、 そして 重要 性 を 理解 する こと も でき なく なる
"
reliability,【名/U】信頼できること；確実性,riˌlaɪəˈbɪləti,【名/U】信頼できること；確実性,He has a good name for reliability.,彼は信頼できるという評判だ。
reliance,"【名/U】（…への）依存；（…に対する）信頼《on ...》【名/C】信頼できる人（物）,頼みの綱",rɪˈlaɪəns,"【名/U】(…への)『依存』；(…に対する)信頼《+『on』(『upon』)+『名』》 
【名/C】信頼できる人(物),頼みの綱","And for the support of this Declaration, with a firm reliance on the Protection of Divine Providence, we mutually pledge to each other our Lives, our Fortunes and our sacred Honor.
","この 宣言 を 支持 する ため に 、 神 の 摂理 による 加護 を 強く 信じ て 、 われわれ は お互い の 生命 と 財産 、 そして 名誉 にかけて 相互 に 誓い を たてる 。
"
relieve,【動/他】を取り除く；を和らげる；を安心させる；を救済する；を交替させる,rɪˈliv,"【動/他】〈物事が〉〈苦通・悩みなど〉‘を'『和らげる』,『軽減する』
〈物事が〉〈人〉の苦痛(悩み)を軽くする,‘を'ほっとさせる,安心させる
〈困っている人〉‘を'『救済する』;〈被災地〉‘を'救援する
 (職務などから)〈人〉‘を'交替させる,解雇する《+『名』+『of』+『名』》
(重い物・大変なものを)〈人〉‘から'取り除く,取り上げる《+『名』〈人〉+『of』+『名』》
〈単調なもの〉‘に'変化を与える 
〈物事〉‘を'きわ立たせる,引立てせる",He was relieved at the news.,彼はその知らせを聞いてほっとした。
reluctance,不本意,rɪˈlʌktəns,"気が進まないこと,不承不承 
磁気抵抗,リラクタンス","Japanese students seem not merely to be extremely reserved, but to have at times almost a complete reluctance to speak.",日本人学生は極度に内気であるのみならず、時としてほとんど全く話したがらないように見える。
reluctant,消極的,rɪˈlʌktənt,"(人が)『気が進まない』,(行為などが)いやいやながらの",The police are reluctant to pursue criminal charges in medical cases.,警察が医療事故の立件に消極的だ。
remainder,余り,rɪˈmeɪndər,"〈U〉《集合的に;複数扱い》残り,残りの人(物) 
〈C〉(引き算の)残り;(割り算の)余り 
〈特に残本〉‘を'安売りする","for the remainder I know them to have happened, and there are some persons yet living, who will remember them but too well.
","そう で ない 部分 に し て も 実際 に あっ た こと だ と いう の は 分かっ て いる し 、 今 なお 生き て い て 、 その あたり を 過剰 な ほど よく 覚え て い そう な もの も いる 。
"
remarkably,著しく,rɪˈmɑrkəbli,"著しく,目立って",She is remarkably attractive.,彼女は並外れて魅力的だ。
remedy,療法,ˈrɛmədi,"(…の)『治療薬』,『治療法』《+『for』+『名』》 
(…を)矯正(救済)するもの,(…の)対策となるもの《+『for』+『名』》 
〈病気など〉‘を'『治療する』 
…‘を'矯正する,改善する","A qilin with a king too has no limit on its lifespan, but this illness alone admits of no remedy.",王を得た麒麟もまた寿命を持たない生き物だが、この病ばかりは治癒の方法がない。
reminder,リマインダー；思い出させるもの,riˈmaɪndər,思い出させる人(もの);(思い出させるための)助言;催促状,This is a friendly reminder about an overdue invoice.,支払い請求書があることのお知らせです。
removal,"【名/U】除去：《...を》移動すること《of》；《...の》解任《of》【名/C】移転,引っ越し ",rɪˈmuvəl,"【名/U】（不要なものの）除去,撤去,撤退,摘出
(…か,…を)移動すること《+『of』+『名』》 
(…の)解任,免職(dismissal)《+『of』+『名』》
【名/C】移転,引っ越し 
",We carry out treatments like whitening. We also do tobacco stain removal and other cleaning procedures.,ホワイトニングなどの治療を行います。 ヤニ取りなどのクリーニングも行っています。
render,(~ A B)AをBにする；伝える,ˈrɛndər,"《『render』+『名』〈目〉+『形』〈補〉》…‘を'(…の状態に)『する』)make) 
…‘を'行う,果たす 
(…に対して)…‘を'返す《+『名』+『for』+『名』》 
'‘を'公式に宣言する,言い渡す 
(…に)〈計算書など〉‘を'提出する,送付する《+『名』+『to』+『名』》 
(文章や絵画で)…‘を'表現する 
(…に)…‘を'翻訳する(translate)《+『名』+『into』+『名』》 
‘を'演奏する,演ずる(perform) 
〈脂肪など〉‘を'溶かす,溶かして精製する《+『名』+『down,』+『down』+『名』》",render a verdict,評決を下す
renew,更新する；継続する；再開する,rɪˈnu,"…‘を'『新しくする』 
〈若さなど〉‘を'取り戻す,回復する 
…‘を'『再び始める』 
…‘を'継続する,更新する,〈契約書など〉‘を'書き替える 
…‘を'新しいのと取り替える…‘を'補充する",Her words renewed my courage.,彼女の言葉で私は勇気をあらたにした。
renewable,"再生可能な；〈契約などが〉更新できる, 継続できる；再生可能エネルギー",riˈnuəbəl,"再開可能な 
更新可能な;復活可能な;回復可能な 
繰り返せる","Originally this system was intended to arouse a further intention of emissions reduction promoted by the benefits of trading through the reduction of emissions, but conversely, it is pointed out that the system can lessen essentially needed efforts to reduce the emissions in the following cases: the amount of emissions of the past becomes vested interest or the like depending on a way of assigning the emissions allowances; if the market price of carbon credit becomes lower than the cost of exchange from fossil fuel to renewable energy or of emissions reduction by using energy-saving material.
","本来この制度は、排出量の削減による取引上の利益により、さらなる削減意欲を生じさせることを意図したものであるが、逆に排出枠の設定方法によっては過去の排出量が既得権益のようになってしまったり、炭素クレジットの市場価格が化石燃料から再生可能エネルギーへの切り替えや省エネルギー等による排出量の削減にかかる費用よりも割安になってしまった場合に、本来必要な努力を減じさせるおそれもあると指摘されている。
"
renewal,再開；復活；更新,rɪˈnuəl,"〈U〉(…を)新しく直すこと,(…の)更新;復興;再生《+『of』+『名』》 
〈C〉新しくされた物,更新された物(証明書など)","When they stopped suddenly to catch their breath for a fiercer renewal of the fight, 
","彼ら は 、 いよいよ 激しく ぶつかり 合お う と 、 息 を 止め て 睨み合っ た 。
"
rental,賃貸；賃貸料,ˈrɛntəl,"〈C〉賃貸料,地代,家賃 
〈U〉(…を)借りる(貸す)こと,(…の)家賃,賃借《+『of』+『名』》 
〈C〉《米》賃貸するもの(家・土地・車など) 
賃貸の",We have 5 different server rental plans for customers.,お客様に５つの有料レンタルサーバープランをご用意しております
reorganization,"【名/U/C】再編成,再組織；再建",ˌriɔrgənəˈzeɪʃən,"【名/U/C】再編成,再組織；再建","Although 79 people had been appointed until 1944, the system died after the war (World War II) with the reorganization of Cabinet Office and the Imperial Household Ministry.
","昭和19年（1944年）までに計79名が認定されたが、戦後になって内閣府と宮内省の改変に伴い消滅した。
"
repay,返済する；報いる,riˈpeɪ,"…‘を'『返す』 
(…に対して),〈人〉‘に'『報いる』《+『名』〈人〉+『for』+『名』(doing)》 
〈行為〉‘に'お返しをする,答える",He wanted to repay the kindness of his friends.,彼は友だちの親切にむくいたいと思った。
repayment,返済；報酬,riˈpeɪmənt,"返済,返礼 
払い戻された物,お返し,報酬","""You ridiculed the idea of my ever being able to help you, expecting to receive from me any repayment of your favor;
","「 この 前 、 あなた は 私 を 嘲笑 し まし た が 、
"
